,preis,kilometer,erstzulassung_monat,erstzulassung_jahr,leistung,mfk_monat,mfk_jahr,angebotsnummer,bewertung_durchschnitt,bewertung_gesamteindruck,bewertung_erreichbarkeit,bewertung_zuverlaessigkeit,bewertung_angebotsbeschreibung,bewertung_kauferlebnis,anzahl_bewertungen,prozentsatz_weiterempfehlungen,fahrzeughalter,gaenge,hubraum,kraftstoffverbrauch,co2_emissionen,tueren,sitzplaetze,garantie,marke_Volkswagen,modell_Golf VI,treibstoff_Autogas (LPG),treibstoff_Benzin,treibstoff_Diesel,treibstoff_Gas,treibstoff_Sonstige,anbieter_Gewerblicher Anbieter,anbieter_Privater Anbieter,karosserieform_Cabrio,karosserieform_Coupé,karosserieform_Kleinwagen,karosserieform_Kombi,karosserieform_Limousine,karosserieform_Sonstige,karosserieform_Van/Kleinbus,getriebe_Automatik,getriebe_Halbautomatik,getriebe_Schaltgetriebe,antriebsart_Allrad,antriebsart_Front,antriebsart_Heck
81,7990,108665.0,11.0,2010.0,59,11.0,2015.0,257165963,3.18,3.33,3.0,3.5,3.0,3.0,3.0,67.0,1.0,5.0,1390.0,64.0,149.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
103,8879,88275.0,8.0,2009.0,59,6.0,2016.0,267765843,4.0,4.0,4.0,0.0,0.0,4.0,2.0,100.0,2.0,,1390.0,69.0,165.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
106,8940,104046.0,12.0,2009.0,90,11.0,2016.0,270101965,3.97,4.0,4.0,3.55,4.5,3.83,9.0,78.0,1.0,6.0,1390.0,63.0,149.0,2.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
108,8779,85385.0,4.0,2010.0,59,,,269488270,4.22,4.38,4.35,4.25,4.12,4.0,57.0,86.0,3.0,,1390.0,64.0,152.0,4.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
110,8910,93263.0,4.0,2010.0,77,,,269712039,2.89,2.5,2.75,3.0,3.66,2.75,4.0,75.0,,6.0,1197.0,57.0,134.0,4.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
118,8980,98765.0,1.0,2011.0,59,,,269681637,3.07,2.83,3.33,3.0,3.33,2.75,6.0,50.0,,5.0,1390.0,69.0,165.0,4.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
119,8980,75255.0,7.0,2010.0,77,,,268947654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1197.0,60.0,139.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
122,8990,59990.0,2.0,2010.0,59,,,269354960,4.56,4.2,4.2,5.0,4.8,4.75,5.0,80.0,,5.0,1390.0,,,5.0,,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
124,9380,108500.0,9.0,2010.0,90,,,269579701,5.0,5.0,5.0,5.0,5.0,5.0,1.0,100.0,1.0,,1390.0,63.0,149.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
125,9490,180000.0,5.0,2009.0,81,5.0,2016.0,270645073,,,,,,,,,2.0,5.0,1968.0,49.0,128.0,2.0,5.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
